City,Country,Weekend/Weekday,Price,Room_Type,Room_Shared,Room_Private,Person_Capacity,Superhost?,Multiple_Rooms?,Business?,cleanliness_rating,guest_satisfaction_overall,bedrooms,Distance from City Center,Nearest Metro (km),attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude
Barcelona,Spain,Weekend,715.2000372,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,93,2,0.589708019,0.237097116,563.4788135,21.75656816,1142.799481,25.10346506,2.17499,41.3909
Barcelona,Spain,Weekend,214.1178113,Private room,FALSE,TRUE,2,FALSE,0,0,9,92,1,1.540542359,0.280945142,402.5703628,15.54370693,867.0688547,19.04658959,2.17139,41.3733
Barcelona,Spain,Weekend,715.2000372,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,93,2,0.66490261,0.336128941,542.0533267,20.92930535,1102.580363,24.21998616,2.17456,41.39205
Barcelona,Spain,Weekend,202.4809738,Private room,FALSE,TRUE,2,FALSE,0,0,8,81,1,1.226671571,0.159221564,465.6530187,17.97940117,1086.783024,23.8729717,2.16909,41.37611
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,1.307531487,0.689944038,591.3500679,22.8327095,891.6336891,19.58619647,2.17102,41.39889
Barcelona,Spain,Weekend,213.8850746,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,1.106366195,0.34871532,486.7403412,18.79360706,883.770604,19.41347091,2.17866,41.39468
Barcelona,Spain,Weekend,554.378942,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,92,1,1.53971738,0.4318142,781.9569672,30.19226215,814.922437,17.90110799,2.17285,41.40084
Barcelona,Spain,Weekend,446.3890893,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,96,1,1.783132123,0.18499388,2160.067552,83.4027044,780.4062835,17.14290407,2.17382,41.40294
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,96,2,1.250607251,0.786951273,566.8816089,21.88795402,938.5647604,20.61711443,2.16976,41.3984
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,1.212702559,0.812649319,564.2802077,21.78751092,967.4922636,21.25255448,2.16994,41.39806
Barcelona,Spain,Weekend,393.0923732,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,100,2,1.675566897,0.311248013,999.4063698,38.58823488,801.5642559,17.60767364,2.17263,41.4021
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,99,2,1.259394768,0.726960893,582.3495363,22.48518857,911.0436343,20.01256775,2.17129,41.39844
Barcelona,Spain,Weekend,300.6958829,Private room,FALSE,TRUE,2,FALSE,0,0,9,92,1,2.109681435,0.346865882,289.3567087,11.17239691,682.0514338,14.98237847,2.14478,41.38712
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,99,2,1.228670009,0.770012703,572.0163715,22.08621314,938.3308643,20.61197652,2.17075,41.39819
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,1.132173524,0.850225779,559.6504665,21.60875126,976.7858696,21.45670378,2.17113,41.3973
Barcelona,Spain,Weekend,830.8702027,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,99,2,1.141407731,0.837473328,560.880661,21.65625049,976.4394031,21.44909308,2.17133,41.39737
Barcelona,Spain,Weekend,528.7778993,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,94,2,1.121800202,0.821383705,557.7427405,21.53509175,1025.219935,22.52063748,2.1698,41.39724
Barcelona,Spain,Weekend,192.00782,Private room,FALSE,TRUE,2,FALSE,0,0,10,94,1,0.784375223,0.184622395,748.6932272,28.90791071,1600.890264,35.16618048,2.17915,41.38554
Barcelona,Spain,Weekend,469.6627644,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,10,97,2,1.302624082,0.380410588,364.7289339,14.08260563,918.6156031,20.17889847,2.155,41.384
Barcelona,Spain,Weekend,176.8799311,Private room,FALSE,TRUE,2,FALSE,0,0,9,89,1,1.017588321,0.326659974,750.0075481,28.95865816,2215.076527,48.65778915,2.1767,41.37948
Barcelona,Spain,Weekend,185.2584542,Private room,FALSE,TRUE,2,FALSE,1,0,10,94,1,1.940126618,0.483274852,352.7067338,13.61841459,693.8043105,15.24054968,2.16232,41.37065
Barcelona,Spain,Weekend,171.2942491,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,1.340419693,0.251704613,366.2977133,14.14317801,893.4687403,19.62650638,2.15679,41.38031
Barcelona,Spain,Weekend,219.9362301,Private room,FALSE,TRUE,2,FALSE,0,0,10,91,1,2.02378994,0.874000477,328.705231,12.69168883,623.3071594,13.69196413,2.19136,41.39573
Barcelona,Spain,Weekend,155.0026765,Private room,FALSE,TRUE,2,FALSE,1,0,8,76,1,1.590892661,0.388788052,335.7932819,12.96536666,812.4172035,17.84607643,2.15226,41.38198
Barcelona,Spain,Weekend,254.6140061,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,0.880479649,0.207421923,913.6834372,35.27837338,1563.216937,34.33862407,2.17285,41.3795
Barcelona,Spain,Weekend,168.9668816,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,1.957517566,0.48296126,352.952412,13.62790051,686.8501682,15.08779054,2.162,41.37057
Barcelona,Spain,Weekend,188.5167687,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,0.97190415,0.286364641,853.2178154,32.94372585,2174.643893,47.76962003,2.17574,41.37952
Barcelona,Spain,Weekend,182.9310866,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,0.861208056,0.247923663,772.3732134,29.82222234,1410.232891,30.97807856,2.17166,41.37948
Barcelona,Spain,Weekend,152.675309,Private room,FALSE,TRUE,2,FALSE,0,0,8,86,1,0.782906205,0.21808436,550.4715405,21.25434232,1108.462956,24.34920696,2.17832,41.39039
Barcelona,Spain,Weekend,196.8952917,Private room,FALSE,TRUE,2,FALSE,0,0,10,90,1,2.135925453,0.453574933,490.2477239,18.92903116,600.6055578,13.19328621,2.18166,41.40426
Barcelona,Spain,Weekend,182.9310866,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,1.718023515,0.554266005,598.284195,23.10044416,710.5383832,15.60814104,2.17917,41.40099
Barcelona,Spain,Weekend,603.95187,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,88,1,2.554776538,0.720936697,397.5146142,15.34849863,528.6048369,11.61167228,2.1816,41.40843
Barcelona,Spain,Weekend,1038.936859,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,98,2,0.38671609,0.062674005,599.9987795,23.16664625,1377.79011,30.26541967,2.17313,41.38971
Barcelona,Spain,Weekend,127.307003,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,1.670147152,0.492688224,326.4133771,12.6031977,783.6266993,17.21364578,2.15077,41.3831
Barcelona,Spain,Weekend,287.1971513,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,79,1,1.072178661,0.327829032,690.4550735,26.65926829,1721.019019,37.80500563,2.17743,41.37926
Barcelona,Spain,Weekend,161.984779,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,1.720554921,0.316634449,355.4125901,13.72289083,836.305349,18.37081873,2.1555,41.37615
Barcelona,Spain,Weekend,277.6549445,Private room,FALSE,TRUE,2,FALSE,0,0,9,88,1,0.818779024,0.55940965,520.9345958,20.11388675,1274.362986,27.99347325,2.1668,41.38017
Barcelona,Spain,Weekend,266.2508437,Private room,FALSE,TRUE,2,FALSE,1,0,10,98,1,2.455663058,0.573275803,271.2145612,10.47190763,594.7439006,13.0645253,2.19895,41.39092
Barcelona,Spain,Weekend,237.1587497,Private room,FALSE,TRUE,2,FALSE,0,0,10,91,1,1.309456087,0.236975079,365.8205426,14.1247539,915.5632473,20.11184847,2.15617,41.38162
Barcelona,Spain,Weekend,254.6140061,Private room,FALSE,TRUE,2,FALSE,0,0,10,95,1,1.584490928,0.702908485,532.8522359,20.57404061,791.508995,17.38679334,2.17955,41.39947
Barcelona,Spain,Weekend,937.4636349,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,6,80,3,2.491125226,0.54613348,267.5113058,10.32892066,657.7752196,14.4491116,2.19971,41.38894
Barcelona,Spain,Weekend,202.4809738,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,0.989362669,0.526363287,479.1549078,18.50072471,1312.065654,28.8216742,2.15882,41.39003
Barcelona,Spain,Weekend,188.5167687,Private room,FALSE,TRUE,2,FALSE,1,0,9,92,1,0.968853443,0.583986378,463.3903687,17.89203764,1525.331279,33.50640345,2.15874,41.38916
Barcelona,Spain,Weekend,186.1894012,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,0.993179505,0.573812149,446.4314837,17.23723549,1327.839404,29.16817048,2.1583,41.38863
